Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2000-01-03,56.66249847412109,56.66875076293945,56.11249923706055,56.66875076293945,36.29790115356445,537560,M&M.NS
2000-01-04,61.20000076293945,61.20624923706055,61.20000076293945,61.20624923706055,39.20429229736328,299760,M&M.NS
2000-01-05,66.10624694824219,66.10624694824219,56.39374923706055,64.35624694824219,41.22196578979492,1820968,M&M.NS
2000-01-06,66.0,68.75,64.75,65.5687484741211,41.99858856201172,1590960,M&M.NS
2000-01-07,64.375,65.25,61.25,62.04999923706055,39.7447395324707,728416,M&M.NS
2000-01-10,63.73749923706055,66.875,61.462501525878906,62.150001525878906,39.80878448486328,667632,M&M.NS
2000-01-11,64.25,67.125,63.76250076293945,66.5999984741211,42.65913391113281,2003056,M&M.NS
2000-01-12,67.5,68.75,61.275001525878906,61.28125,39.25233459472656,1088072,M&M.NS
2000-01-13,64.5,65.0,58.1875,62.375,39.952911376953125,687632,M&M.NS
2000-01-14,62.5,65.625,61.26250076293945,64.875,41.55422592163086,635584,M&M.NS
2000-01-17,67.25,70.0687484741211,67.25,70.0687484741211,44.880958557128906,1304032,M&M.NS
2000-01-18,71.25,74.4937515258789,68.78125,71.7437515258789,45.95384979248047,2344184,M&M.NS
2000-01-19,75.125,77.48750305175781,71.5,74.9000015258789,47.97551345825195,2619848,M&M.NS
2000-01-20,74.7437515258789,74.7437515258789,70.75,71.54374694824219,45.82574844360352,857464,M&M.NS
2000-01-21,73.125,73.125,68.0,68.75,44.03626251220703,732360,M&M.NS
2000-01-24,67.38749694824219,68.73750305175781,63.90625,64.3375015258789,41.20994186401367,366120,M&M.NS
2000-01-25,64.5,64.96875,61.400001525878906,63.40625,40.61344528198242,729352,M&M.NS
2000-01-26,63.40625,63.40625,63.40625,63.40625,40.61344528198242,0,M&M.NS
2000-01-27,67.5,67.5,59.375,62.41249847412109,39.9769287109375,741040,M&M.NS
2000-01-28,63.5,64.98750305175781,62.5,63.88750076293945,40.92169952392578,454952,M&M.NS
2000-01-31,63.375,64.6875,62.5,63.46875,40.65348815917969,317448,M&M.NS
2000-02-01,63.625,64.21875,59.375,60.243751525878906,38.58779144287109,1078464,M&M.NS
2000-02-02,62.5,65.0687484741211,62.25,65.0687484741211,41.67832565307617,718440,M&M.NS
2000-02-03,67.5,69.8375015258789,64.3812484741211,64.9000015258789,41.570255279541016,416304,M&M.NS
2000-02-04,64.5,65.36250305175781,62.625,63.650001525878906,40.76958084106445,253632,M&M.NS
2000-02-07,62.125,64.11250305175781,62.125,63.23125076293945,40.50135803222656,232224,M&M.NS
2000-02-08,64.36250305175781,68.29374694824219,64.36250305175781,68.29374694824219,43.744022369384766,971896,M&M.NS
2000-02-09,72.5,73.625,65.0,66.1500015258789,42.37089157104492,1118936,M&M.NS
2000-02-10,66.90625,71.4437484741211,66.90625,71.40625,45.7376594543457,3064944,M&M.NS
2000-02-11,73.625,77.1187515258789,73.625,77.1187515258789,49.39669418334961,3020944,M&M.NS
2000-02-14,82.4375,83.0,77.5,81.7249984741211,52.34712219238281,3395328,M&M.NS
2000-02-15,78.125,78.4937515258789,75.1875,75.1875,48.15966033935547,450472,M&M.NS
2000-02-16,76.125,76.25,69.17500305175781,69.17500305175781,44.30849838256836,147280,M&M.NS
2000-02-17,63.78125,69.86250305175781,63.64374923706055,66.1812515258789,42.39091491699219,1182056,M&M.NS
2000-02-18,65.625,67.3125,61.275001525878906,62.0,39.71270751953125,1741096,M&M.NS
2000-02-21,63.125,64.375,61.5,63.47499847412109,40.6574821472168,989320,M&M.NS
2000-02-22,61.40625,65.0,61.40625,64.42500305175781,41.2660026550293,2016696,M&M.NS
2000-02-23,65.5,69.375,64.125,64.34375,41.21393966674805,593216,M&M.NS
2000-02-24,65.625,69.3499984741211,63.0,64.2249984741211,41.137882232666016,1270200,M&M.NS
2000-02-25,66.75,66.75,61.25,62.01874923706055,39.7247200012207,226032,M&M.NS
2000-02-28,61.25,64.125,59.5,63.78125,40.8536376953125,496560,M&M.NS
2000-02-29,62.875,63.993751525878906,59.375,60.26874923706055,38.60380554199219,847288,M&M.NS
2000-03-01,61.25,61.25,55.5,57.556251525878906,36.86635971069336,688080,M&M.NS
2000-03-02,58.75,58.76250076293945,52.95624923706055,52.962501525878906,33.92393493652344,944560,M&M.NS
2000-03-03,48.75,49.98749923706055,48.743751525878906,48.91875076293945,31.33380126953125,1154080,M&M.NS
2000-03-06,49.743751525878906,51.03125,47.6875,50.306251525878906,32.22254943847656,433704,M&M.NS
2000-03-07,49.125,49.375,46.28125,46.28749847412109,29.64842987060547,296216,M&M.NS
2000-03-08,45.88750076293945,49.625,43.125,43.75624847412109,28.02708625793457,391096,M&M.NS
2000-03-09,44.125,44.125,40.25624847412109,40.25624847412109,25.78523635864257,463136,M&M.NS
2000-03-10,41.125,43.48125076293945,40.0,43.48125076293945,27.850934982299805,679320,M&M.NS
2000-03-13,44.212501525878906,46.962501525878906,43.125,46.962501525878906,30.080774307250977,537496,M&M.NS
2000-03-14,49.837501525878906,50.0625,46.875,48.42499923706055,31.017539978027344,1145016,M&M.NS
2000-03-15,48.11249923706055,48.11249923706055,44.556251525878906,44.556251525878906,28.53950881958008,134040,M&M.NS
2000-03-16,41.875,43.75,40.993751525878906,40.993751525878906,26.257625579833984,643488,M&M.NS
2000-03-17,40.993751525878906,40.993751525878906,40.993751525878906,40.993751525878906,26.257625579833984,0,M&M.NS
2000-03-20,40.993751525878906,40.993751525878906,40.993751525878906,40.993751525878906,26.257625579833984,0,M&M.NS
2000-03-21,41.0,44.275001525878906,40.375,43.806251525878906,28.05911445617676,596232,M&M.NS
2000-03-22,44.625,47.3125,44.375,46.150001525878906,29.56035041809082,1691736,M&M.NS
2000-03-23,47.5,47.75,42.462501525878906,42.462501525878906,27.19839859008789,222344,M&M.NS
2000-03-24,40.88750076293945,41.875,39.5,41.28125,26.44178009033203,578392,M&M.NS
2000-03-27,41.875,44.118751525878906,41.875,42.45624923706055,27.19440078735352,670760,M&M.NS
2000-03-28,44.5625,45.625,43.0625,43.61249923706055,27.93500518798828,700520,M&M.NS
2000-03-29,44.8125,46.3125,43.5,43.931251525878906,28.139175415039062,1214672,M&M.NS
2000-03-30,42.63750076293945,42.63750076293945,40.41875076293945,40.70624923706055,26.073471069335938,773392,M&M.NS
2000-03-31,40.5,40.618751525878906,38.5625,39.73125076293945,25.448963165283203,1317552,M&M.NS
2000-04-03,39.875,41.125,36.556251525878906,36.587501525878906,23.847963333129883,604024,M&M.NS
2000-04-04,33.875,38.125,33.662498474121094,37.087501525878906,24.173866271972656,1612376,M&M.NS
2000-04-05,37.75,40.04999923706055,36.51250076293945,39.4375,25.70560836791992,2014200,M&M.NS
2000-04-06,40.0,40.5,37.125,39.29999923706055,25.615982055664062,1659560,M&M.NS
2000-04-07,39.875,42.44374847412109,39.875,42.44374847412109,27.66510772705078,1283664,M&M.NS
2000-04-10,42.5,45.618751525878906,42.5,44.39374923706055,28.93613052368164,1663456,M&M.NS
2000-04-11,43.75,43.875,41.39374923706055,43.556251525878906,28.39023780822754,444704,M&M.NS
2000-04-12,43.125,43.125,40.125,40.35625076293945,26.30445671081543,668392,M&M.NS
2000-04-13,38.875,39.28125,37.875,38.50624847412109,25.098617553710938,624784,M&M.NS
2000-04-14,38.50624847412109,38.50624847412109,38.50624847412109,38.50624847412109,25.098617553710938,0,M&M.NS
2000-04-17,36.90625,36.90625,35.431251525878906,35.474998474121094,23.12282371520996,1138448,M&M.NS
2000-04-18,36.25,36.868751525878906,34.400001525878906,35.0,22.81322288513184,870992,M&M.NS
2000-04-19,36.125,37.07500076293945,35.0,35.46875,23.11875343322754,445904,M&M.NS
2000-04-20,34.875,36.25,33.25,35.28125,22.99654197692871,519592,M&M.NS
2000-04-21,35.28125,35.28125,35.28125,35.28125,22.99654197692871,0,M&M.NS
2000-04-24,33.9375,35.5625,33.9375,35.025001525878906,22.82951545715332,194352,M&M.NS
2000-04-25,34.125,37.79375076293945,33.40625,36.69374847412109,23.917213439941406,566576,M&M.NS
2000-04-26,38.875,38.875,36.8125,38.556251525878906,25.13120460510254,421360,M&M.NS
2000-04-27,39.375,39.625,35.474998474121094,35.474998474121094,23.12282371520996,356088,M&M.NS
2000-04-28,35.375,35.375,32.63750076293945,33.625,21.9169864654541,579600,M&M.NS
2000-05-01,33.625,33.625,33.625,33.625,21.9169864654541,0,M&M.NS
2000-05-02,33.625,34.0,31.375,33.41875076293945,21.78255271911621,657472,M&M.NS
2000-05-03,32.5,34.375,32.01250076293945,33.349998474121094,21.73773956298828,261632,M&M.NS
2000-05-04,33.25,34.625,33.125,33.75,21.99846076965332,3411344,M&M.NS
2000-05-05,34.375,37.79999923706055,34.0,37.34375,24.34089469909668,3491640,M&M.NS
2000-05-08,38.125,39.0,34.75,35.1875,22.935434341430664,693576,M&M.NS
2000-05-09,34.1875,34.48749923706055,33.0,34.099998474121094,22.226598739624023,788992,M&M.NS
2000-05-10,34.98749923706055,34.98749923706055,32.5,32.724998474121094,21.33036231994629,836264,M&M.NS
2000-05-11,31.5,32.243751525878906,28.799999237060547,28.799999237060547,18.77202033996582,1206560,M&M.NS
2000-05-12,28.5,28.75,25.34375,25.5625,16.661800384521484,2059304,M&M.NS
2000-05-15,25.012500762939453,27.125,24.125,26.893749237060547,17.52951431274414,1283496,M&M.NS
2000-05-16,27.4375,27.49374961853028,26.131250381469727,26.61874961853028,17.350271224975586,970312,M&M.NS
2000-05-17,27.25,28.424999237060547,26.25,26.612499237060547,17.346193313598633,611344,M&M.NS
2000-05-18,25.75,26.4375,25.75,26.231250762939453,17.097698211669922,202096,M&M.NS
2000-05-19,26.0,26.174999237060547,25.412500381469727,25.68124961853028,16.739198684692383,363112,M&M.NS
2000-05-22,25.037500381469727,25.5625,24.875,25.068750381469727,16.3399658203125,237016,M&M.NS
2000-05-23,24.625,25.112499237060547,23.25,23.412500381469727,15.26041316986084,651048,M&M.NS
2000-05-24,23.11874961853028,24.875,22.643749237060547,24.506250381469727,15.97332763671875,769880,M&M.NS
2000-05-25,25.0,27.450000762939453,25.0,27.450000762939453,17.892086029052734,1333960,M&M.NS
2000-05-26,27.375,28.125,24.74374961853028,26.350000381469727,17.175094604492188,2140296,M&M.NS
2000-05-29,26.237499237060547,27.25,26.125,26.768749237060547,17.44803810119629,735592,M&M.NS
2000-05-30,27.125,28.893749237060547,27.125,28.662500381469727,18.68239402770996,1067680,M&M.NS
2000-05-31,29.875,32.09375,29.375,31.112499237060547,20.2793197631836,1295776,M&M.NS
2000-06-01,30.012500762939453,30.012500762939453,27.381250381469727,27.381250381469727,17.847272872924805,1846768,M&M.NS
2000-06-02,27.5,28.350000381469727,25.625,26.58749961853028,17.32990074157715,2646688,M&M.NS
2000-06-05,27.131250381469727,28.71875,26.0,26.262500762939453,17.118066787719727,2778592,M&M.NS
2000-06-06,26.75,26.799999237060547,25.887500762939453,26.568750381469727,17.317678451538086,1766704,M&M.NS
2000-06-07,27.11874961853028,27.600000381469727,26.625,26.912500381469727,17.54173469543457,1330416,M&M.NS
2000-06-08,27.112499237060547,27.625,26.75,26.96875,17.57840347290039,2376816,M&M.NS
2000-06-09,27.125,27.612499237060547,26.568750381469727,26.86874961853028,17.513212203979492,2771560,M&M.NS
2000-06-12,27.350000381469727,28.125,27.0,27.137500762939453,17.688390731811523,3177864,M&M.NS
